"","Shape_Area","OBJECTID","geology","geolarge","geolocal","curve10plan","curve10prof","curve30plan","curve30prof","elevation","aspect","slope","twi","dist_river","dist_stream","stream_min","x","y","streamcat","radians","northness","eastness","logarea"
"126880",4264.91302691,126881,6,6,6,-0.0128358054161072,0.00178072303533554,-0.00224117711186409,0.000536696799099445,2734.05395507812,144.086227416992,42.3872985839844,5.47015857696533,204.281509399414,5.64738368988037,0,869365.53439231,8548682.40664838,1,2.51477907520384,-0.809900666663538,0.586567055107902,3.62991017915695
"126895",1373.36827445,126896,1,5,5,0.0218740439414978,-0.0124344801902771,0.0177133965492249,-0.00926810383796692,2066.13598632812,118.408294677734,29.1298961639404,3.39547276496887,173.934036254883,40.2261085510254,5.25846147537231,871986.56403075,8548730.33570808,0,2.06661460379814,-0.475751550314239,0.879579707800037,3.13778701073662
"126920",410.174554627,126921,1,5,6,0.013506418466568,0.020199146270752,-0.0112026679515839,0.013207129240036,2756.580078125,251.710632324219,49.2802848815918,3.41418409347534,438.834869384766,22.3730869293213,6.15086936950684,873920.85295464,8548744.27487497,0,4.39317929633449,-0.313816266564167,-0.949483728580815,2.61296871520386
"126923",177.107134611,126924,5,6,6,0.00137541696429253,-0.00032107550650835,0.00215688794851303,-0.000539905689656734,2697.10986328125,320.485717773438,30.5055999755859,5.34056234359741,271.21826171875,4.44268846511841,0,869813.25957983,8548751.65536341,1,5.5935309807638,0.77146600300381,-0.636270544822975,2.24823605672806
"126959",173.112510067,126960,6,9,6,-0.00661552667617798,0.0284828639030457,-0.00529701173305511,0.0156463158130646,2691.28735351562,341.62255859375,38.6986427307129,5.81587362289429,9.12718868255615,10.5915403366089,1.00318169593811,869024.33939939,8548753.75605485,0,5.96243844654819,0.949000215982076,-0.31527541938117,2.23832845352964
"126962",173.0819761,126963,5,3,6,0.00558315753936768,-0.00561550378799438,-0.00143966868519783,-0.00884411156177521,2741.38012695312,155.204376220703,10.7061967849731,4.4028491973877,297.610931396484,25.0588512420654,11.1408958435059,870024.01637622,8548756.00447833,0,2.70882737855526,-0.90780951340855,0.419382745669074,2.238251844953
"126974",461.278345215,126975,6,9,6,-0.00719861447811127,0.0103137338161469,0.000404355153441429,0.00523378252983093,2937.14575195312,149.483139038086,37.2525444030762,5.77149486541748,50.1953964233398,7.59591960906982,0,867999.07499473,8548743.49177318,1,2.60897295243107,-0.861479765100602,0.50779190060714,2.66396306706355
"127008",3411.023407,127009,6,9,6,-0.00826402962207794,0.0196741020679474,-0.00663361489772797,0.0149918496608734,2948.14306640625,167.597549438477,39.5855560302734,5.03620529174805,23.9680347442627,8.366455078125,0,867895.53845549,8548731.44311485,1,2.9251290559754,-0.976663093132083,0.214777099602522,3.53288469961732
"127128",3414.75760853,127129,6,7,6,-0.00549521803855896,0.00439905524253845,-0.000337103977799416,0.00324099838733673,2666.62548828125,44.1510124206543,42.8712043762207,5.21159553527832,162.317672729492,7.32847118377686,0,869462.28800861,8548729.34146387,1,0.770580534829329,0.717506417906326,0.696551893446018,3.53335988136631
"127149",178.176354051,127150,6,7,6,-0.0010297142714262,0.00213224023580551,0.00118685618042946,0.00306287914514542,2940.703125,166.51025390625,39.6773452758789,5.79561901092529,55.5582656860352,4.62092685699463,0,868082.40300373,8548780.15858139,1,2.90615216899581,-0.972411683241163,0.233271340494472,2.25085006790195
"127150",165.122000687,127151,1,5,6,0.011552826166153,-0.0138860535621643,0.00650022804737091,9.03893820941448e-05,2294.97338867188,271.956726074219,42.4947166442871,3.63772058486938,340.462738037109,36.0612144470215,21.874719619751,873051.87502791,8548779.48620164,0,4.74654029293943,0.0341446744267384,-0.999416900601692,2.217804942072
"127185",321.134377354,127186,1,5,5,0.0312105560302734,-0.00153959020972252,0.0113614845275879,-0.00210567846894264,2322.359375,301.634094238281,40.108283996582,3.10716104507446,319.222442626953,39.9192428588867,27.7144203186035,873085.7957053,8548785.12760092,0,5.26450808072886,0.524492639001059,-0.851414982035027,2.50668679916973
"127203",412.270321279,127204,6,6,6,-0.00273492097854614,-0.00241157352924347,-0.000144370784983039,-0.00217666208744049,2643.8466796875,318.500305175781,22.5235824584961,6.19784688949585,117.891174316406,9.5903377532959,0,869683.87541876,8548784.8953589,1,5.55887899392412,0.748959250106235,-0.662616059026874,2.6151820717194
"127209",750.397259738,127210,6,6,6,-0.000493156127631664,6.78428448736668e-05,-0.00186993986368179,0.00277990877628326,2654.80517578125,341.569061279297,23.7785720825195,6.16417407989502,176.517166137695,3.85930824279785,0,869741.16124135,8548782.45066116,1,5.96150474227001,0.948705428346058,-0.316161367384951,2.87529123943972
"127225",428.247501192,127226,6,7,7,-0.0585844039916992,0.0128632211685181,-0.00475332528352737,0.00452588826417923,2641.76147460938,35.5582847595215,37.9796829223633,6.80434894561768,92.8391571044922,2.72263360023499,0,869404.68184962,8548781.24190125,1,0.62060914541537,0.813524370782105,0.581530823038281,2.63169483755304
"127279",162.140396608,127280,1,6,6,0.00937399089336395,-0.140115146636963,-0.0137789022922516,-0.0156327128410339,1894.82202148438,24.5189819335938,57.9271469116211,4.05939817428589,102.047790527344,4.86007642745972,0,872517.5062897,8548800.50351432,1,0.427936963978217,0.90982383421478,0.414994687549993,2.20989123100058
"127314",677.254850516,127315,6,7,7,-0.0277810120582581,0.0156561493873596,-0.021229236125946,0.00260594397783279,2596.17895507812,42.6146812438965,38.3378257751465,6.14046001434326,76.708251953125,7.42646312713623,0,869528.15805818,8548792.05469983,1,0.743766497393867,0.735923622935761,0.677064562065616,2.83075212414417
"127378",7393.98210485,127379,6,7,6,-0.0102196383476257,0.000108288684859872,-0.0049822199344635,0.00163831397891045,2717.00659179688,82.9451141357422,42.8711128234863,5.13309812545776,97.6150665283203,7.11432075500488,0,869179.79741069,8548729.81384912,1,1.44766534011119,0.122820086054934,0.99242895285328,3.86887839514508
"127394",17453.504875,127395,6,9,6,0.000772231072187424,0.00189474418759346,-0.000401339009404182,0.00508073210716248,2861.60522460938,131.908248901367,31.0819721221924,5.20439147949219,34.7148818969727,11.1401138305664,0,868277.29318877,8548770.28664385,1,2.30223325386905,-0.667939707446353,0.744215390338362,4.24188265164071
"127399",166.115916053,127400,6,6,6,0.0157881736755371,-0.00010264141485095,0.000276318825781345,-0.000496670976281166,2648.77709960938,315.311706542969,31.7058162689209,4.57095956802368,187.497589111328,14.447811126709,2.22842001914978,869778.49319066,8548817.33874642,0,5.50322744925696,0.71094317503669,-0.703249459202601,2.2204112454727
